ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
096-65-8934|4581920487704|Jessica|Walters|F|32998 Gomez Knolls|Colliers|WV|26035|40.37431890660933|-80.50721470513248|2491|Waste management officer|1975-03-20|64178648472|adults_2550_female_rural.json|0c340225bca388b9d96d62115b7ea166|2022-03-27|22:09:41|1648427981|entertainment|482.99|1|Dixon-Foster|40.374449396302374|-80.50633310632838
096-65-8934|4581920487704|Jessica|Walters|F|32998 Gomez Knolls|Colliers|WV|26035|40.37431890660933|-80.50721470513248|2491|Waste management officer|1975-03-20|64178648472|adults_2550_female_rural.json|73fedc4c6ea1a6e809cfc19568cf8a9e|2022-03-27|23:15:23|1648431923|entertainment|561.11|1|Dixon-Foster|40.374449396302374|-80.50633310632838
096-65-8934|4581920487704|Jessica|Walters|F|32998 Gomez Knolls|Colliers|WV|26035|40.37431890660933|-80.50721470513248|2491|Waste management officer|1975-03-20|64178648472|adults_2550_female_rural.json|99bc7a7df7450253132f898a85e8d724|2022-03-27|22:35:19|1648429519|home|282.55|1|Abbott PLC|26.73467744215215|-81.4803040894358
271-36-4413|4962458701205|Nancy|Phillips|F|2536 Brenda Drives|Dahlgren|IL|62828|38.19749894737034|-88.6363005003095|1426|Environmental health practitioner|1980-11-18|401401327103|adults_2550_female_rural.json|5ae18df01b9b196db814f9a5af236350|2022-02-02|00:03:33|1643772813|grocery_pos|12.15|1|Hensley, Hayes and Zimmerman|33.20290001291587|-117.52106670076492
271-36-4413|4962458701205|Nancy|Phillips|F|2536 Brenda Drives|Dahlgren|IL|62828|38.19749894737034|-88.6363005003095|1426|Environmental health practitioner|1980-11-18|401401327103|adults_2550_female_rural.json|c55cc421031eb465e4ab8c2276912c14|2022-02-02|02:34:29|1643781869|shopping_net|6.43|1|Leonard PLC|33.48571457119936|-84.73356355627578
271-36-4413|4962458701205|Nancy|Phillips|F|2536 Brenda Drives|Dahlgren|IL|62828|38.19749894737034|-88.6363005003095|1426|Environmental health practitioner|1980-11-18|401401327103|adults_2550_female_rural.json|655b10796ae7e99155b7c2811e976b58|2022-02-02|02:37:47|1643782067|shopping_pos|360.95|1|Wilson Ltd|38.20299593317221|-88.59516799209653
271-36-4413|4962458701205|Nancy|Phillips|F|2536 Brenda Drives|Dahlgren|IL|62828|38.19749894737034|-88.6363005003095|1426|Environmental health practitioner|1980-11-18|401401327103|adults_2550_female_rural.json|c18b9dd82f99955da2294097d44a1e3d|2022-02-02|08:43:33|1643804013|gas_transport|970.14|1|Santiago-Reynolds|41.28397678363382|-75.89320775813232
271-36-4413|4962458701205|Nancy|Phillips|F|2536 Brenda Drives|Dahlgren|IL|62828|38.19749894737034|-88.6363005003095|1426|Environmental health practitioner|1980-11-18|401401327103|adults_2550_female_rural.json|63f0be73c43f22ce59d15a4c279758d8|2022-02-02|02:41:42|1643782302|gas_transport|914.60|1|Murray-Taylor|33.55947471686544|-86.73933672670769
271-36-4413|4962458701205|Nancy|Phillips|F|2536 Brenda Drives|Dahlgren|IL|62828|38.19749894737034|-88.6363005003095|1426|Environmental health practitioner|1980-11-18|401401327103|adults_2550_female_rural.json|0f3c5f03e622bf2feb420a962d184797|2022-02-03|22:59:20|1643941760|entertainment|862.82|1|Ruiz, Obrien and Murray|38.188598467234875|-88.63719660247004
271-36-4413|4962458701205|Nancy|Phillips|F|2536 Brenda Drives|Dahlgren|IL|62828|38.19749894737034|-88.6363005003095|1426|Environmental health practitioner|1980-11-18|401401327103|adults_2550_female_rural.json|a3232312c58e81c2bb74215d508e5c37|2022-02-03|22:37:47|1643940467|kids_pets|483.36|1|Spencer-Williams|38.18890406188169|-88.6352399384912
271-36-4413|4962458701205|Nancy|Phillips|F|2536 Brenda Drives|Dahlgren|IL|62828|38.19749894737034|-88.6363005003095|1426|Environmental health practitioner|1980-11-18|401401327103|adults_2550_female_rural.json|83b8ee8945c6010b9965f35e20eb1218|2022-02-03|23:14:28|1643942668|home|436.55|1|Lynn-Taylor|38.23257947878277|-88.62480199271496
271-36-4413|4962458701205|Nancy|Phillips|F|2536 Brenda Drives|Dahlgren|IL|62828|38.19749894737034|-88.6363005003095|1426|Environmental health practitioner|1980-11-18|401401327103|adults_2550_female_rural.json|c98079a086d2d039ef4d900b21c11725|2022-02-03|22:49:20|1643941160|entertainment|256.23|1|Ruiz, Obrien and Murray|38.188598467234875|-88.63719660247004
271-36-4413|4962458701205|Nancy|Phillips|F|2536 Brenda Drives|Dahlgren|IL|62828|38.19749894737034|-88.6363005003095|1426|Environmental health practitioner|1980-11-18|401401327103|adults_2550_female_rural.json|7b9872e167829c39b15a55578d91536e|2022-02-03|23:28:28|1643943508|shopping_pos|268.40|1|Wilson Ltd|38.20299593317221|-88.59516799209653
271-36-4413|4962458701205|Nancy|Phillips|F|2536 Brenda Drives|Dahlgren|IL|62828|38.19749894737034|-88.6363005003095|1426|Environmental health practitioner|1980-11-18|401401327103|adults_2550_female_rural.json|3f1bd541164bb31cf2a157fa43825ac0|2022-02-03|22:01:35|1643938295|personal_care|18.70|1|Obrien Inc|38.19756760552035|-88.63628391883009
271-36-4413|4962458701205|Nancy|Phillips|F|2536 Brenda Drives|Dahlgren|IL|62828|38.19749894737034|-88.6363005003095|1426|Environmental health practitioner|1980-11-18|401401327103|adults_2550_female_rural.json|7ee52452827b09b1ed76433252b41487|2022-02-03|23:19:59|1643942999|kids_pets|18.42|1|Spencer-Williams|38.18890406188169|-88.6352399384912
271-36-4413|4962458701205|Nancy|Phillips|F|2536 Brenda Drives|Dahlgren|IL|62828|38.19749894737034|-88.6363005003095|1426|Environmental health practitioner|1980-11-18|401401327103|adults_2550_female_rural.json|363701dd3d25ca6600fb0c9de325951e|2022-02-03|22:13:49|1643939029|home|21.91|1|Lynn-Taylor|38.23257947878277|-88.62480199271496
271-36-4413|4962458701205|Nancy|Phillips|F|2536 Brenda Drives|Dahlgren|IL|62828|38.19749894737034|-88.6363005003095|1426|Environmental health practitioner|1980-11-18|401401327103|adults_2550_female_rural.json|b04f56225ba0b86bada429cc65d74c8f|2022-02-03|22:18:30|1643939310|personal_care|24.84|1|Obrien Inc|38.19756760552035|-88.63628391883009
271-36-4413|4962458701205|Nancy|Phillips|F|2536 Brenda Drives|Dahlgren|IL|62828|38.19749894737034|-88.6363005003095|1426|Environmental health practitioner|1980-11-18|401401327103|adults_2550_female_rural.json|d50dee0fe32833c19d36dfeee9e61ea8|2022-02-03|23:48:33|1643944713|kids_pets|20.00|1|Spencer-Williams|38.18890406188169|-88.6352399384912
