ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|El Paso|TX|79927|31.683409616841978|-106.21615307998131|749635|Management consultant|1972-08-06|79488406665|adults_50up_female_urban.json
473-58-0617|584119986795|Kristen|Conner|F|9359 Mason Circle|Saint Louis|MO|63111|38.562766048897906|-90.25025207374809|927396|Production designer, theatre/television/film|1989-07-24|889502767451|adults_2550_female_urban.json
732-11-8267|4037788925546656|Michael|Williams|M|51864 Cummings Shoals Apt. 519|Shelbyville|IL|62565|39.84197277921203|-88.49955407209262|7538|Counsellor|1954-09-08|386189485379|adults_50up_male_urban.json
672-90-6422|4486528168505423|Trevor|Peterson|M|32214 William Plains Apt. 592|Las Vegas|NV|89117|36.11069061535475|-115.25530832133505|1417793|Therapist, speech and language|1967-07-22|169121724065|adults_50up_male_urban.json
186-89-2713|3506537947383471|Stuart|Lee|M|4688 Burch Viaduct Apt. 924|Phoenix|AZ|85028|33.58502191589059|-112.00852119955404|1312922|Associate Professor|1994-07-09|531034820387|adults_2550_male_urban.json
568-14-8453|2261247826137504|Jason|Sanders|M|61530 Galvan Villages Suite 220|San Francisco|CA|94127|37.73038078141098|-122.4652604533806|805301|Historic buildings inspector/conservation officer|1992-08-18|914473253283|adults_2550_male_urban.json
713-18-7686|30010432898610|Paula|Young|F|36971 Mary Parks|Purcellville|VA|20132|39.14065635632726|-77.71875489449965|15900|Therapist, speech and language|1968-01-28|19482202674|adults_50up_female_urban.json
528-74-3964|3546095396218518|Troy|Stephens|M|7065 Burgess Knolls|Scottsdale|AZ|85255|33.69839729385661|-111.88856792235482|268597|Broadcast journalist|1965-07-02|263473920508|adults_50up_male_urban.json
644-14-9534|3520585277221706|Elaine|Williams|F|54868 King Terrace|Hampton|NH|03842|42.93592494258606|-70.82376508048539|15345|Engineer, aeronautical|1955-05-11|392070860877|adults_50up_female_urban.json
887-84-5439|4566765277584161694|Zachary|White|M|1154 Griffin Stravenue Suite 275|Rolling Meadows|IL|60008|42.11078083654287|-88.16965486275616|22717|Product manager|1994-08-17|799045831074|adults_2550_male_urban.json
630-56-4499|4165820297021358|Jack|Herring|M|275 Wallace Club|Atlanta|GA|30309|33.63212288842028|-84.447871078869|900273|Teacher, secondary school|1953-12-30|580411980930|adults_50up_male_urban.json
408-41-4567|4027868144733|Zachary|Mitchell|M|12172 Osborn Valleys Suite 518|Indian Head|MD|20640|38.54581100268431|-77.13607846516885|10438|Special effects artist|2002-06-26|980499639968|young_adults_male_urban.json
872-21-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Miami|FL|33176|25.595172721680203|-80.16701376478917|1737737|Comptroller|1985-03-16|352068690122|adults_2550_male_urban.json
076-58-7633|4289226801824223|Erica|Fletcher|F|414 Cynthia Plaza Suite 249|Ann Arbor|MI|48104|42.140639735606214|-83.57341043650868|158345|Social research officer, government|1960-11-08|550157085827|adults_50up_female_urban.json
173-76-9514|4995900109439695|Margaret|Jimenez|F|473 Evans Cliffs Apt. 276|Cranberry Twp|PA|16066|40.69922316179127|-80.10825934852595|28060|Radio broadcast assistant|1949-10-22|225333063288|adults_50up_female_urban.json
622-19-5122|3556258815371477|David|Davis|M|9632 Peck Stravenue Suite 327|Booker|TX|79005|36.43969643785476|-100.52243755453603|1735|Scientist, biomedical|1961-07-29|547465802270|adults_50up_male_rural.json
510-03-1476|6533950047974802|Sarah|Jordan|F|565 Richard Port Apt. 584|Rienzi|MS|38865|34.734277798095626|-88.7789269438179|4698|Buyer, retail|1935-07-01|555710136742|adults_50up_female_urban.json
783-71-4583|3521655852398689|Amanda|Williams|F|8729 Mark Ridge Suite 269|Monroe|IA|50170|41.80437945468667|-92.94887455016014|2745|Hydrographic surveyor|1962-04-28|371917215429|adults_50up_female_urban.json
849-66-8722|30470551694093|Karen|Coffey|F|097 Alexandria Stravenue|Burlington|NC|27215|35.87268206204259|-79.90279068183688|75761|Water quality scientist|1982-04-05|926744876615|adults_2550_female_urban.json
152-88-3969|676213075622|Jason|Harris|M|028 Ann Shore Suite 865|La Plata|MD|20646|38.525704801435346|-76.98649814917181|18890|Early years teacher|1966-12-07|375951918053|adults_50up_male_urban.json
363-87-4332|3533484344375759|Justin|Michael|M|1986 Cardenas Trail Apt. 404|Dublin|OH|43017|40.16227026458284|-83.07501232890326|68932|Careers information officer|1983-08-02|719159529356|adults_2550_male_urban.json
766-62-3506|4842199330839|Margaret|Williams|F|7120 Richard Wells Suite 734|West Palm Beach|FL|33401|26.80936695349901|-80.03568300399743|459921|IT sales professional|1965-09-21|709895453406|adults_50up_female_urban.json
788-12-9407|4262067240046|Keith|Rodriguez|M|7887 Melissa Mountain Suite 315|Sacramento|CA|95820|38.39645525559037|-121.37088250505788|757530|Designer, textile|1971-01-05|505651306822|adults_50up_male_urban.json
264-92-3051|060454932967|Ronald|Robertson|M|1227 Boyle Avenue|Detroit|MI|48221|42.35350665198419|-83.41800490824892|673342|Games developer|1974-01-21|259345477235|adults_2550_male_urban.json
772-35-5401|4453017426841459337|Tina|Mendoza|F|956 Todd Unions Apt. 391|Virginia Beach|VA|23462|36.73769158162282|-76.27976988371324|437994|Secondary school teacher|1959-03-14|581739352909|adults_50up_female_urban.json
080-73-1839|676183982252|Scott|Ramos|M|971 Stokes Motorway|Indianapolis|IN|46234|39.81419308062941|-86.33836195424206|910148|Consulting civil engineer|1962-04-23|457470916067|adults_50up_male_urban.json
578-08-9156|30406403910659|Melody|Weaver|F|70462 Katie Stream|Stony Point|NC|28678|35.85491466826218|-81.04497416304778|5226|Petroleum engineer|1955-07-17|420440076410|adults_50up_female_urban.json
891-49-6155|2702512868230047|Joel|Ball|M|633 Reed Harbor Apt. 106|Fullerton|CA|92833|33.75838488269271|-118.2949339812377|134733|Volunteer coordinator|1962-04-06|978753281962|adults_50up_male_urban.json
247-27-1103|2720079030673833|Nicole|Parsons|F|439 Ray Trail|Watertown|MA|02472|42.37081757879377|-71.17610923952337|32014|IT sales professional|1975-07-13|331729976873|adults_2550_female_urban.json
677-67-3622|6540892687056857|Melissa|Russell|F|2873 Kevin Station Apt. 708|Weslaco|TX|78596|26.554579638931994|-98.11610694294971|63844|Passenger transport manager|1929-11-15|459423143415|adults_50up_female_urban.json
543-18-6364|4351751830467|Megan|Morrison|F|98373 Turner Bridge|Las Vegas|NV|89141|36.03840191025628|-115.31922563841296|1417793|Engineer, mining|1964-12-17|210183500752|adults_50up_female_urban.json
765-97-7847|4638546785448|Heather|Andrade|F|75355 Williams Way Apt. 204|Hickory|NC|28601|35.67609634216317|-81.37430910995376|79007|Surgeon|1992-12-28|643964883225|adults_2550_female_urban.json
738-54-4837|4536937854777255|Caroline|Cortez|F|80801 Kathy Loop Apt. 312|Spring Valley|CA|91977|32.24400204801962|-116.99644236955119|67264|Acupuncturist|1982-09-15|554990175020|adults_2550_female_urban.json
383-08-7917|4008860084840868|Robert|Browning|M|82339 Ochoa Grove|Miami|FL|33196|25.916119712797734|-80.83776541888972|1737737|Occupational psychologist|1990-07-08|408361278207|adults_2550_male_urban.json
471-73-3985|3541016668700210|Kathryn|Hamilton|F|180 Jason Ways Suite 401|Akron|OH|44312|41.02176055542826|-81.56732397504138|272134|Health visitor|1969-10-24|600862968276|adults_50up_female_urban.json
674-05-2939|343926142939687|Evelyn|Campos|F|185 Connor Fort|Brentwood|MD|20722|38.93993858691421|-76.95020690384199|5711|Call centre manager|1937-03-05|662887798281|adults_50up_female_urban.json
610-51-5348|676347735869|Jeffrey|Frazier|M|94311 Moore Station Apt. 655|Saint Louis|MO|63123|38.54527837139684|-90.32403020820192|927396|Clinical biochemist|1983-11-19|4688044575|adults_2550_male_urban.json
456-47-4420|5512678886101586|Anna|George|F|0466 Jenny Points Apt. 982|Marblehead|MA|01945|42.49913836319496|-70.85696461915835|19808|Museum/gallery conservator|1971-06-28|151051859836|adults_50up_female_urban.json
309-35-8080|4264647154379938|Judith|Taylor|F|5965 Cook Via|Denver|CO|80237|39.893688012140956|-104.87191198708345|990452|Therapist, music|1984-02-24|327002164659|adults_2550_female_urban.json
618-89-3291|30526547935641|Rose|Long|F|398 Erin Plaza|Philadelphia|PA|19141|40.03649151508494|-75.14511747027845|1526206|Aid worker|1930-11-29|802957040689|adults_50up_female_urban.json
726-27-7184|4672434266179796888|Thomas|Kane|M|058 Daniel Gateway Suite 290|Edmonds|WA|98020|48.04199638762256|-122.61194061778424|54225|Surveyor, quantity|1973-09-15|712894168926|adults_2550_male_urban.json
410-97-5433|6011014388899374|James|Ford|M|0714 Knapp Corner|Tucson|AZ|85746|32.08290628541507|-110.9244442501535|865276|Commercial art gallery manager|1976-01-02|157754796139|adults_2550_male_urban.json
320-44-7461|4571775140102|Sarah|Wong|F|382 Mark Meadow|Litchfield|CT|06759|41.75264354751638|-73.20064659119656|5720|Psychologist, counselling|1967-11-07|877169140360|adults_50up_female_urban.json
645-24-3054|4609379660334199|Brian|Wiggins|M|5371 Lambert Overpass|Albion|PA|16401|41.89824265219683|-80.31618989509889|6581|Secretary, company|1981-10-12|704228248578|adults_2550_male_urban.json
612-50-6432|3555792499125131|Eric|White|M|669 Bailey Manors|Fairfield|CA|94533|38.57093394768922|-121.7840824993297|105693|Electronics engineer|1955-08-30|697874934613|adults_50up_male_urban.json
711-83-2839|213174225790506|John|Lee|M|876 Perry Ville Suite 721|Howard Lake|MN|55349|45.17905677262006|-93.99760720723992|3887|Systems analyst|1979-04-14|872010906800|adults_2550_male_urban.json
300-05-4504|4279788191480|Samantha|Richardson|F|783 Garcia Village|Morgan|UT|84050|41.13357251760436|-111.8463745130691|9290|Firefighter|1972-07-03|959056357132|adults_50up_female_urban.json
461-34-5712|2413395962923307|Kelly|Patel|M|4494 Derek Terrace|Newark|NJ|07103|40.7373709595736|-74.19670677853605|277237|Paramedic|1982-02-04|68370591034|adults_2550_male_urban.json
888-84-2079|3532536729466718|Madeline|Beard|F|8457 Murphy Alley|Sound Beach|NY|11789|40.931064872972414|-72.94717545763767|7895|Chief Financial Officer|1968-06-08|697753726506|adults_50up_female_urban.json
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|Lenoir|NC|28645|36.07439272183054|-81.62082485216705|47703|Phytotherapist|1980-08-06|999389892260|adults_2550_male_urban.json
667-39-2605|4541520643611037125|Kevin|Stone|M|05162 Jones Lights Apt. 115|Athens|TX|75752|32.453651327100644|-95.7507159645991|24239|Mental health nurse|1973-06-27|330201333423|adults_2550_male_urban.json
392-97-2182|4189092753269739|Brandon|Garcia|M|656 Moody Gateway|Owings Mills|MD|21117|39.43448637807256|-76.60830091390298|53778|Health and safety inspector|1946-08-31|92962937500|adults_50up_male_urban.json
567-77-9831|3504389836403768|Brian|Porter|M|055 Paul Villages|Reading|PA|19606|40.34959483388855|-75.8631304754897|213013|Teacher, adult education|1969-06-11|401239553647|adults_50up_male_urban.json
700-23-7718|5191043006848665|Mia|Miller|F|1418 Terri Drives|Miami|TX|79059|35.72308040697661|-100.68990417028587|837|Software engineer|1971-08-03|430900111440|adults_50up_female_rural.json
650-98-1084|4303161799042102026|Jon|Reed|M|52410 Roman Groves Apt. 491|Chesapeake Beach|MD|20732|38.611167672767344|-76.65174093072946|9919|Research scientist (maths)|1953-12-14|560300808050|adults_50up_male_urban.json
